Reference Type,Author,Year,Title,Title of Journal,Volume,Issue,Page Range,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Journal Article,"Rabasa, José",2005,Ecografía de la voz en la historiografía nahua,Historia y grafía,,25,105–151,,,1405-0927,,,http://www.redalyc.org/articulo.oa?id=58922832005,,16th century,Foreign Missions -- Ethnography|Foreign Missions -- Linguistics|Foreign Missions -- Anthropology,North America -- Mexico,"Acosta, José de, 1540–1600","In one of his early writings, Fundamentos de la historia de América, Edmundo O'Gorman invites us to reflect on the incorporation of America into European culture. For O'Gorman, this incorporation entails the formation of euro-american culture at the start of the discovery of America. O'Gorman considers that this process constitutes a philosophical conquest, an instance of the imperialism of occidental reason that for the first time fully manifests itself in the work of Bartolomé de las Casas, who, for O'Gorman constitutes an intermediary, transitional space between Scholastic philosophy and Descartes. In this essay, I have developed the theoretical elements for thinking the incorporation of Europe into Mesoamerican culture. I consider that this second moment is a logical consequence of O'Gormans argument, not a contradiction of his premises. Given that the place of writing in colonizing processes is one of the most debated aspects of the conquest in colonial studies, here I reflect on the incorporation of writing into Mesoamerican culture. Such incorporation has a broad range of modalities among Nahuatl writers that go from a ""stenography"" of speech acts to a recording of internal voices. The ecography of Nahuatl voice would seek to theorize an approximation to the records of speech acts that no longer would reiterate the binary that opposes writing versus orality.",,,,,Spanish,REVIEW
Journal Article,"Plečkaitis, Romanas",2005,The History of Philosophy in Lithuania – I,Forum philosophicum: International Journal for Philosophy,10,,159–166,,November,1426-1898,10.5840/forphil20051021,,https://www.pdcnet.org/forphil/content/forphil_2005_0010_0159_0166,,16th century|17th century|18th century,Philosophy|History -- Regional,Europe -- Lithuania,,"This article discusses the history of the first stage of the development of philosophical thought in Lithuania. It covers the period from the end of the 14th century, when the first Lithuanians began to study at Western European universities, to the second half of the 18th century, when Lithuanian academics adopted the ideas of modern philosophy.",,,,,English,REVIEW
Journal Article,"Phan, Peter C.",2005,"Ignacio Ellacuría, S.J. in Dialogue with Asian Theologians: What Can They Learn From Each Other?",Horizons,32,1,53–71,,Spring,0360-9669,,,http://eds.a.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=5&sid=018834a9-4aec-48b4-a8cf-7c53c7e29740%40sessionmgr4009,,20th century,Theology -- Liberation|Theology -- Ecumenism,,"Ellacuría, Ignacio, 1930–1989","As liberation theology spread across the globe in the seventh and eighth decades of the twentieth century, the need was felt for mutual learning and teaching among its proponents in various continents. The Ecumenical Association of Third World Theologians (EAT- WOT) was founded at Dar Es Salaam, Tanzania, in 1976 to facilitate such a dialogue. This article explores the ways in which the thought of Ignacio Ellacuría, S.J., (a Spanish philosopher and theologian who was murdered in El Salvador in 1989) and Asian liberation theology can enrich each other. After situating Ellacuría, especially his activities as rector of the Jesuit University of Central America, in the context of political and military conflicts of El Salvador, the essay expounds Ellacuria's phi- losophy of realidad histórica, his theology of the People of God as el pueblo crucificado, and his understanding of a Catholic university as a ""social force,"" and shows how these three ideas can enrich Asian liberation theology. The essay then presents Asian liberation theology in the socio-political and religious contexts of Asia and explains how it can enrich Ellacuria's thought and by extension Latin American liberation theology in three areas: theological method, through the use of non-Christian religious sources, espe- cially popular religion; theology of liberation, by attending to the efforts of non-Christian activists for justice and peace; and a new way of being church, through a triple dialogue: dialogue with the Asian people, especially their poor; dialogue with Asian cultures; and dialogue with Asian religions.",,,,,English,KEEP
Journal Article,"Pereira, José Esteves",2005,O Sol e a Lua: Desígnios políticos de Vieira,Brotéria: Cristianismo e cultura,160,5–6,489–494,,May–June,0870-7618,,,http://www.broteria.pt/?detail=1&books_id=300,,17th century,Political Thought|Politics -- Emperorship|Foreign Missions -- History -- Regional,Europe -- Portugal -- Lisbon|South America -- Brazil,"Vieira, António, 1608-1697","Apreciação do plano político do P. António Vieira: uma construção profética, grandiosa e barroca dum quinto império centrado em Portugal, visualização dum futuro segundo um projecto providencialista ideal de perfectibilidade cristã colectiva, superando as ideias de Imperio e de Respublica Christiana. Com alusão ao milenarismo de Joaquim de Fiora, mas, sobretudo, compaginando a futuração de Vieira com a juspolítica peninsular da sua época.",,,,,Portuguese,REVIEW
Journal Article,"Pantin, Isabelle",2005,"Galilee, la lune et les jesuites: a propos du Nincius Sidereus Colegii Romani et du 'problème de Mantoue'",Galileana: Journal of Galilean Studies,,2,19–42,,,1971-6052,,,,,17th century,Sciences -- Astronomy|Theology -- Cosmology|Controversies -- Galileo Galilei,,"Clavius, Christoph, 1538–1612","Description and interpretation of the new Lunar phenomena posed specific problems. Ancient and Medieval discussions on the substance and mode of illumination of the planet were resumed. Christoph Clavius preferred to hold the traditional Scholastic theory, while his disciples—notably Grienberger—felt that it could no longer fit the observed data. Moreover, the Jesuits were not inclined to join in the blatant opposition of conservative Aristotelians.",,,,,French,REVIEW
Journal Article,"Pabel, Hilmar M.",2005,Peter Canisius as a Catholic Editor of a Catholic St. Jerome,Archiv für Reformationsgeschichte,96,,171–197,,,2198-0489,10.14315/arg-2005-0109,,https://www.researchgate.net/publication/283372505_Peter_Canisius_as_a_Catholic_Editor_of_a_Catholic_St_Jerome,,16th century,Saints and Blessed|Writings -- Editions|Theology -- Patristics,,"Canisius, Peter, Saint, 1521–1597",,,,,,English,REVIEW
Journal Article,"O'Collins, Gerald",2005,"Jacques Dupuis, S.J. (1923–2004): In Retrospect",Vidyajyoti: Journal of Theological Reflection,69,6,449–460,,June,0970-1079,,,,,20th century|21st century,Theology |Biography -- Intellectual,Asia -- India|Europe -- Italy -- Rome,"Dupuis, Jacques, 1923–2004|O'Collins, Gerald, 1931–",,,,,,English,REVIEW
Journal Article,"Neill, Erik",2005,"The Hortus Messanensis of Pietro Castelli: Science, Nature, and Landscape Architecture in 17th Century Messina",Lexicon: Storie e architettura in Sicilia,,1,6–19,,,1827-3416,,,http://dialnet.unirioja.es/descarga/articulo/3669349.pdf,,17th century,Arts -- Architecture|Arts -- Gardening|History -- Regional|Sciences -- Nature,Europe -- Italy -- Messina,,,,,,,English,REVIEW
Journal Article,"Mycek, Stanislaw",2005,Riflessioni sul cristianesimo teorematico nel pensiero teologico di Hans Urs von Balthasar,Sacra doctrina,50,2,33–52,,Mach–April,0036-2190,,,,,20th century,Theology -- Method|Theology -- Systematic,,"von Balthasar, Hans Urs, 1905–1988",,,,,,Italian,REVIEW
Journal Article,"Mycek, Stanislaw",2005,Per una mariologia integrale: Maria nel pensiero teologico-teodrammatico di Hans Urs von Balthasar,Sacra doctrina,50,6,30–58,,November–December,0036-2190,,,,,20th century,Theology -- Mariology|Theology -- Aesthetics -- Drama,,"von Balthasar, Hans Urs, 1905–1988",,,,,,Italian,REVIEW
Journal Article,"Muñoza, Antolín de la",2005,Con gratitud y caridad fraterna: El cuidado de ancianos y enfermos en la Compañía de Jesús,Manresa,,77,263–274,,,0214-2457,,,,,21st century,Ministries -- Care|Sciences -- Medicine|History -- General,,,,,,,,Spanish,REVIEW
Journal Article,"Montenegro, Augusto",2005,Historiografía de la Iglesia en Cuba,Anuario de historia de la Iglesia,,14,313–350,,,1133-0104,,,http://www.unav.edu/publicacion/historiadelaiglesia/,,20th century,Foreign Missions -- Historiography|Foreign Missions -- History -- Regional -- Church History,North America -- Cuba,,"El trabajo presenta una síntesis de la producción histórica sobre esta comunidad nacional del pueblo de Dios en el siglo XX, y especialmente sobre los factores que han condicionado la investigación, el manejo de fuentes y la narración.",,,,,Spanish,REVIEW
Journal Article,"Monferrer-Sala, Juan Pedro",2005,"A Tribute to Professor Samir Khalil, SJ, on the Occasion of his 65th Birthday",Collectanea christiana orientalia,2,,397–401,,,1697-2104,,,https://www.uco.es/revistas/index.php/cco/article/view/705/662|http://dx.doi.org/1.2171/cco.v2i,,20th century,Philosophy|Islamic Studies|Theology|Biography -- Intellectual,Africa,"Khalil Samir, Samir, 1938–",,,,,,English,REVIEW
Journal Article,"Molina, Diego",2005,Dos épocas para una experiencia: La mística ignaciana en el siglo XVI y en el siglo XX,Manresa,,77,343–361,,,0214-2457,,,,,16th century|17th century|18th century|19th century|20th century,Ignatius of Loyola -- Spirituality -- Mysticism|History -- General -- Spirituality,,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,REVIEW
Journal Article,"Moita, Gonçalo Pistacchini",2005,A unidade do intelecto e a inteligência da unidade no De anima de Francisco Suárez – II,Brotéria: Cristianismo e cultura,161,5,367–385,,November,0870-7618,,,,,16th century,Philosophy -- Psychology|Philosophy -- Scholasticism,,"Suárez, Francisco, 1548–1617","Continuação do argumento, analisando como Suárez descobre o fundamento do conhecimento no interior do próprio sujeito, instaurando a moderna e radical diferenciação entre o sensível e o inteligível e afirmando o projecto de autonomia racional do ser humano. A novidade da proposta suareziana, porém, que antecipa a de Descartes, mantém a concepção essencial da alma como forma de um corpo, o que, se não tivesse sido esquecido, teria permitido à modernidade um outro caminho.",,,,,Portuguese,REVIEW
Journal Article,"Moita, Gonçalo Pistacchini",2005,A unidade do intelecto e a inteligência da unidade no De anima de Francisco Suárez – I,Brotéria: Cristianismo e cultura,161,4,243–255,,October,0870-7618,,,,,16th century,Philosophy -- Psychology|Philosophy -- Scholasticism,,"Suárez, Francisco, 1548–1617","Começando pelo (não) reconhecimento de Suárez por Heidegger, defende-se a importância do seu pensamento como momento inicial e inaugurador da modernidade, o que se faz pela análise da concepção da razão tal como é exposta no tratado De Anima, no qual a novidade do modo de conceber o acto de conhecer descobre o seu fundamento no sujeito e afirma a autonomia do espírito racional.",,,,,Portuguese,REVIEW
Journal Article,"Miškeje, Martina",2005,Jozef Bartakovič: Metallurgicon sive De cultura fodinarum auri et argenti: Promočná tlač Trnavskej Univerzity z roku 1748,"Sambucus: Práce z klasickej filológie, latinskej medievalistiky a neolatinistiky",1,,131–144,,,8080820457,,,,,18th century,Writings -- Treatises|Sciences -- Geology|Education -- Schools -- Grammar,Europe -- Slovakia,,"The poem Metallurgicon is didactical piece of work and its subject is gold and silver mininig. It was published in 1748 as a graduation imprint for students who graduated in that year as Bachalors of Philosophy and it was dedicated by students of Trnava´s grammar school. The author Josephus Bartakovics SJ declares that him aim is to give an advice for those who tend to probe gold. Bartakovics is a master of mining and his experience is not only academic (Georgius Agricola´s work was friednly to Bartakovics), but he also personally attended the mines in the area of present-day Slovakia. The poem is adorned with myths and fairy-tale inserts, too. This delicate graduation imprint of 1748 is a worthy piece of work giving us the proof of high standard in which the world science and technology was presented at Trnava University.",,,,Josephus Bartakovics: Metallurgicon sive De cultura fodinarum auri et argenti. A Graduation Imprint of the Trnava University in 1748,Slovak,REVIEW
